                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0798,                 8.5834,                 4.2613,                0.00039,                0.01493,                0.00021,                  9e-05,                 3.3538,                 5.8288,                 4.1536,                  0.091,                  0.001,                  0.001
                      1,                 3.3636,                 6.2022,                 4.2379,                0.00034,                0.00263,                0.00017,                0.00012,                 3.3407,                 5.0143,                 4.1427,               0.080892,              0.0018921,              0.0018921
                      2,                 3.3759,                 5.3226,                 4.1778,                0.00034,                0.00263,                0.00017,                0.00012,                 3.3426,                 4.7737,                 4.1189,               0.070566,              0.0025664,              0.0025664
                      3,                 3.5871,                  5.047,                 4.2863,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3466,                 4.7376,                 4.1053,               0.060023,              0.0030229,              0.0030229
                      4,                 3.6113,                 5.0117,                  4.222,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3502,                  4.731,                 4.0949,               0.049262,              0.0032616,              0.0032616
                      5,                 3.6481,                 4.9839,                 4.2132,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3559,                 4.7302,                 4.0879,               0.038283,              0.0032825,              0.0032825
                      6,                  3.615,                 4.9549,                 4.1266,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3592,                 4.7287,                 4.0827,               0.027086,              0.0030856,              0.0030856
                      7,                 3.1375,                 4.8154,                 4.1084,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3719,                 4.7222,                 4.0734,               0.015671,              0.0026709,              0.0026709
                      8,                 3.4813,                 4.7877,                 4.1456,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3756,                 4.7187,                 4.0703,              0.0040384,              0.0020384,              0.0020384
                      9,                 3.9091,                 5.2195,                 4.1116,                0.00033,                0.00263,                0.00017,                0.00012,                 3.3786,                 4.7117,                 4.0673,                0.00109,                0.00109,                0.00109
